Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
11918, 16, 1189273, 11781, 21, 1086034
12026, 17, 1184264, 11786, 21, 1085483
11846, 17, 1188128, 11741, 21, 1086795
18837, 16, 1191885, 12164, 20, 1085145
11515, 17, 1187087, 11411, 21, 1088015
11732, 16, 1191788, 11729, 20, 1086906
12299, 18, 1177779, 11987, 23, 1085122
11763, 16, 1203287, 11761, 21, 1088985
14185, 17, 1183210, 10710, 20, 1085709
11739, 18, 1188481, 11457, 22, 1085927
11887, 16, 1188342, 11749, 21, 1086420
10941, 16, 1187509, 10837, 20, 1085705
10888, 16, 1188087, 10689, 21, 1088649
11306, 33, 1189294, 11056, 37, 1087674
11328, 16, 1179362, 11122, 21, 1085088
10683, 17, 1186381, 10663, 20, 1088358
10988, 16, 1195774, 10755, 20, 1085244
10973, 17, 1190770, 10706, 21, 1088343
10706, 17, 1185083, 10703, 21, 1086624
11960, 17, 1195053, 11736, 21, 1086426
10863, 16, 1176842, 10727, 20, 1090610
10798, 16, 1192815, 10686, 21, 1086481
10715, 17, 1193857, 10688, 21, 1087399
10810, 16, 1194375, 10689, 19, 1086063
11194, 18, 1207688, 10788, 22, 1087665
10886, 16, 1197054, 10730, 20, 1087187
11471, 16, 1195877, 10892, 21, 1087973
10843, 16, 1195853, 10708, 21, 1085926
11683, 18, 1206309, 11010, 21, 1086926
10714, 16, 1197896, 10671, 39, 1087443
10918, 16, 1188951, 10726, 20, 1085229
10815, 16, 1195041, 10713, 20, 1087554
13860, 17, 1202590, 10676, 20, 1086063
10701, 16, 1193506, 10698, 20, 1086707
18880, 16, 1185221, 11797, 20, 1084923
10716, 16, 1193628, 10688, 21, 1089277
10678, 16, 1204452, 10642, 20, 1086164
11646, 17, 1194029, 11396, 21, 1088578
10778, 16, 1194459, 10648, 20, 1086270
10992, 16, 1191712, 10809, 20, 1086252
10747, 17, 1207339, 10649, 20, 1086608
11733, 18, 1194216, 11552, 21, 1086997
10802, 16, 1195470, 10698, 21, 1087319
18194, 16, 1184260, 11305, 19, 1085497
10604, 16, 1207862, 10601, 21, 1089338
18305, 16, 1185091, 11065, 20, 1085264
10410, 16, 1197902, 10389, 19, 1088821
10966, 16, 1208244, 10650, 20, 1087523
10646, 16, 1207686, 10626, 20, 1089006
17488, 16, 1186896, 11317, 20, 1084853
10766, 16, 1195306, 10644, 20, 1088650
10767, 17, 1195528, 10615, 20, 1086078
11612, 18, 1197065, 11287, 21, 1087028
10300, 16, 1196342, 10197, 21, 1086671
16129, 17, 1183679, 12039, 22, 1084935
10659, 16, 1199312, 10630, 20, 1088804
10304, 16, 1191289, 10301, 21, 1085314
10811, 17, 1199185, 10441, 20, 1087900
10825, 16, 1192797, 10498, 20, 1086170
10463, 16, 1197023, 10195, 20, 1087730
10746, 16, 1197241, 10606, 21, 1085370
10598, 16, 1199444, 10596, 21, 1087645
16024, 15, 1184292, 11721, 19, 1084199
10312, 16, 1199922, 10205, 20, 1087756
18044, 16, 1186260, 11184, 20, 1084786
10613, 16, 1199681, 10588, 20, 1088417
17762, 16, 1183801, 10900, 21, 1085016
10713, 16, 1196060, 10600, 20, 1087486
10744, 16, 1190342, 10637, 20, 1085957
11226, 18, 1222027, 10905, 22, 1090899
16186, 18, 1223342, 12053, 22, 1089608
11632, 109, 1227855, 11043, 49, 1089313
11005, 16, 1237587, 10523, 21, 1091243
11255, 17, 1226039, 10657, 21, 1092906
11807, 18, 1225478, 10990, 21, 1090890
11062, 17, 1228830, 10390, 20, 1089969
12394, 17, 1232521, 11719, 21, 1089973
11588, 16, 1285127, 11561, 21, 1101488
10698, 16, 1170376, 10697, 20, 1079618
18125, 17, 1167960, 11906, 20, 1079173
11218, 16, 1174472, 11104, 19, 1080976
11690, 16, 1174264, 11529, 20, 1080423
11605, 16, 1173308, 11484, 19, 1079214
11919, 16, 1166100, 11697, 19, 1078905
11677, 16, 1187387, 11578, 21, 1081800
11384, 16, 1174979, 11272, 21, 1080311
