Detection method: Pipeline
Clock = 26614067.000000, Chrono = 19164798, TimeR = 20.000000
Clock = 105092488.000000, Chrono = 216622715, TimeR = 217.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.85463
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
11861, 5751, 600314, 78068, 606277, 23500, 5470, 269201
13114, 2704, 747557, 61250, 750435, 22996, 2705, 277295
12979, 2646, 573043, 59521, 575861, 25821, 2434, 265214
11750, 2502, 802986, 60198, 805699, 19980, 2504, 289965
12300, 2734, 621512, 60691, 624587, 24442, 2711, 269704
12043, 6808, 732337, 57337, 739376, 18350, 5420, 302714
11655, 11089, 738887, 59613, 750221, 11645, 4357, 279782
12609, 3303, 693149, 60189, 696788, 17186, 3228, 264004
12876, 2726, 765706, 58066, 768702, 18534, 2711, 294550
10156, 8133, 964611, 58610, 973085, 10148, 6249, 290678
11276, 4108, 492374, 63427, 496660, 18897, 4110, 264203
12260, 2604, 679282, 60917, 682171, 14717, 2606, 291356
11923, 3625, 715100, 63459, 718928, 19172, 3540, 273965
11983, 2586, 681049, 64034, 683878, 19880, 2587, 291763
12936, 3347, 825472, 62246, 829085, 21355, 3348, 303019
11137, 3579, 594838, 62322, 598727, 18417, 3458, 273308
12308, 4370, 716869, 63589, 721676, 15665, 4054, 291381
12554, 4473, 768386, 63029, 773078, 25088, 4170, 292577
12706, 2933, 797193, 65626, 800335, 16994, 2865, 272694
10781, 2890, 593640, 61188, 596708, 10771, 2690, 259909
13572, 2332, 548381, 61750, 550929, 18186, 2243, 259185
13021, 2591, 634907, 61448, 637717, 20034, 2592, 288760
10348, 2736, 734334, 57460, 737278, 10339, 2737, 290305
11721, 2848, 816701, 58278, 819882, 16774, 2825, 284830
11216, 4372, 711873, 61265, 716517, 13096, 4113, 278932
12180, 3697, 745682, 119742, 749592, 19300, 3699, 279897
12598, 2802, 790189, 53622, 793231, 20739, 2756, 286969
12403, 18348, 808159, 61715, 826716, 20730, 3106, 284892
12293, 2874, 732206, 63232, 735277, 17449, 2617, 279859
11872, 2773, 802137, 57321, 805101, 19586, 2760, 278616
11810, 3330, 582135, 60465, 585698, 18359, 2608, 263073
11380, 3063, 740663, 60854, 743966, 18017, 3047, 279130
11200, 17437, 778041, 58820, 795868, 11191, 4702, 283568
9944, 5056, 780206, 58343, 785575, 9935, 4837, 299799
10082, 4257, 573509, 59547, 577966, 10073, 4120, 261896
11093, 2594, 713507, 58173, 716446, 11085, 2595, 274212
11678, 4254, 755743, 62626, 760307, 19051, 4133, 294557
11491, 6691, 718186, 62770, 725090, 18718, 3625, 280787
12030, 13610, 804949, 60523, 818813, 19946, 2420, 281821
11992, 2909, 720749, 62075, 723854, 19872, 2858, 266140
12333, 2588, 766474, 62124, 769234, 17441, 2590, 296774
12103, 2597, 729285, 68446, 732169, 19938, 2501, 302199
12014, 6522, 794193, 67710, 801016, 19781, 6223, 289463
12719, 3984, 705287, 74062, 709482, 21568, 3957, 270026
10232, 2580, 705103, 56434, 707985, 10781, 2582, 284351
10403, 3837, 704853, 70266, 709036, 10394, 3838, 278194
12700, 4262, 686929, 57822, 691454, 10800, 4126, 275258
10214, 3396, 706247, 58123, 709955, 10205, 3374, 292131
11581, 4248, 815342, 56545, 819818, 10989, 4115, 284639
11701, 2927, 572013, 65949, 575116, 18303, 2928, 275650
11377, 2232, 670873, 65362, 673309, 18831, 2233, 274290
15895, 2706, 749227, 65520, 752128, 17100, 2707, 281102
11321, 2410, 699221, 60205, 701884, 18797, 2313, 272984
11208, 3477, 764515, 63511, 768190, 18500, 3359, 282519
15802, 2548, 733983, 65116, 736819, 18850, 2550, 282659
11546, 3909, 691995, 69699, 696077, 19054, 3893, 269863
9888, 2240, 704992, 59797, 707491, 9800, 2241, 281887
10386, 3927, 740292, 59208, 744660, 12422, 3775, 298235
10788, 3219, 793666, 63078, 797069, 10688, 2956, 280997
11108, 2410, 491206, 57018, 493839, 11100, 2412, 260917
11301, 3584, 582561, 57383, 586350, 12174, 3585, 257447
11153, 2847, 784315, 61142, 787364, 18402, 2831, 274787
11518, 2596, 718391, 57231, 721226, 19125, 2597, 275733
11809, 2917, 726901, 59174, 730047, 18802, 2919, 275664
14843, 3347, 811436, 73968, 815226, 29552, 3347, 296888
12937, 19481, 730996, 59088, 750726, 25309, 7641, 282893
12482, 3934, 808175, 60530, 812337, 20760, 3916, 289525
15722, 3890, 792807, 63299, 796922, 27939, 3891, 281245
11130, 2923, 814188, 55806, 817272, 15427, 2924, 288839
----------------

